;;;;;;;;;;;;
;BRAGA VEICULOS LTDA;;;;;;;;;;;
;;;;;;;;;;;;
;;;;Plano de Contas;;;Pág.:;;;1/1;;
;;;;;;;;;;;;
;;;;;;;Data:;;;11/06/2026;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;Hora:;;;09:42:41;;
;;;;;;;;;;;;
Conta;;Cod. Reduzido;Descrição;;;;;Tipo;;;Natureza;
1.1.1.03.041;;4245;Banco do Brasil S/A.-C/C: 6327;;;;;Analítica;;;Devedora;
1.1.1.03.042;;4246;Banco do Brasil S/A -C/C 5906-4;;;;;Analítica;;;Devedora;
1.1.1.03.043;;4247;Banco do Brasil S/A - C/C 6772-5 ;;;;;Analítica;;;Devedora;
1.1.1.03.044;;4248;Banco do Brasil S/A-C/C 6770-9;;;;;Analítica;;;Devedora;
1.1.1.03.045;;4249;Banco do Brasil S/A-C/C 6768-7;;;;;Analítica;;;Devedora;
1.1.1.03.051;;4250;Conta 302.05 BANCO BRASIL AG: 1856 CC: 6222-7 (GM MATRIZ);;;;;Analítica;;;Devedora;
1.1.1.03.052;;4251;Banco HSBC S/A - C/C: 01631-46;;;;;Analítica;;;Devedora;
1.1.1.03.053;;4252;Banco da Amazonia S/A.-C/C 073280-5;;;;;Analítica;;;Devedora;
1.1.1.03.054;;4253;Banco da Amazonia S/A -C/C 72730-5;;;;;Analítica;;;Devedora;
1.1.1.03.061;;4254;Banco do Brasil S/A.-C/C: 6483-1;;;;;Analítica;;;Devedora;
1.1.1.03.062;;4255;Banco HSBC S/A - C/C: 01617-80;;;;;Analítica;;;Devedora;
1.1.1.03.063;;4256;Banco Itau - C/C: 10000-9;;;;;Analítica;;;Devedora;
1.1.1.03.064;;4257;Banco Safra C/C: 22.152-8;;;;;Analítica;;;Devedora;
1.1.1.03.065;;4258;Banco Safra c/c:1187048;;;;;Analítica;;;Devedora;
1.1.1.03.066;;4259;Banco Safra Poupanca: 22.152-8;;;;;Analítica;;;Devedora;
1.1.1.03.067;;4260;Banco Caixa Economica- 3090-4;;;;;Analítica;;;Devedora;
1.1.1.03.068;;4261;Banco Caixa Economica - 3087-4;;;;;Analítica;;;Credora;
1.1.1.03.069;;4262;Banco Caixa Economica - 3191-9;;;;;Analítica;;;Devedora;
1.1.1.03.070;;4263;Banco Caixa Economica - 1275-2;;;;;Analítica;;;Devedora;
1.1.1.03.071;;4264;Conta 302.06 BANCO BTG PACTUAL AG: 0001 CC: 48365-6 (GM MATRIZ);;;;;Analítica;;;Devedora;
1.1.1.03.072;;4265;Banco BTGPactual 48365-4;;;;;Analítica;;;Devedora;
1.1.1.03.073;;4266;Banco BTGPactual 511998-7;;;;;Analítica;;;Devedora;
1.1.1.03.074;;4267;Banco BTGPactual 502394-0;;;;;Analítica;;;Devedora;
1.1.1.03.075;;4268;Banco BTGPactual 500732-3;;;;;Analítica;;;Devedora;
1.1.1.03.076;;4269;Banco Bradesco-C/C 6371-1;;;;;Analítica;;;Devedora;
1.1.1.03.077;;4270;Banco BTGPactual 508985-9;;;;;Analítica;;;Devedora;
1.1.1.03.078;;4271;Banco BTGPactual 462437-5;;;;;Analítica;;;Devedora;
1.1.1.03.079;;4272;Banco BTGPactual 220884-7;;;;;Analítica;;;Devedora;
1.1.1.03.081;;4273;Banco do Brasil-C/C 6659-1;;;;;Analítica;;;Devedora;
1.1.1.03.082;;4274;Conta 302.02 BANCO SANTANDER AG: 4584 CC: 130020418 (GM MATRIZ);;;;;Analítica;;;Devedora;
1.1.1.03.083;;4275;Banco Santander C/C 130020401;;;;;Analítica;;;Devedora;
1.1.1.03.084;;4276;Conta 302.16 BANCO SANTANDER AG: 4584 CC: 130020470 (YAMAHA MATRIZ);;;;;Analítica;;;Devedora;
1.1.1.03.085;;4277;Conta 302.13 BANCO SANTANDER AG:4584 CC:130031047(MOTOREY MATRIz;;;;;Analítica;;;Devedora;
1.1.1.03.091;;4278;Banco Caixa Economica - 3450-1;;;;;Analítica;;;Devedora;
1.1.1.03.092;;4279;Banco Itau 8271 C/C 39028-1;;;;;Analítica;;;Devedora;
1.1.1.03.093;;4280;Banco do Brasil 6769-5;;;;;Analítica;;;Devedora;
1.1.1.03.094;;4281;Banco BTG Pactual - 105483-1;;;;;Analítica;;;Devedora;
1.1.1.03.095;;4282;Conta 302.18 BANCO BRADESCO AG: 2368 CC: 793-5 (YAMAHA MATRIZ);;;;;Analítica;;;Devedora;
1.1.1.03.096;;4283;Banco Pactual  - 2255561;;;;;Analítica;;;Devedora;
1.1.1.03.097;;4284;Conta Movimento - Pagamento;;;;;Analítica;;;Devedora;
1.1.1.03.098;;4285;Conta 302.19 BANCO PAGSEGURO AG: 0001 CC: 195339403 (YAMAHA MATRIZ);;;;;Analítica;;;Devedora;
1.1.1.03.099;;4286;Conta 302.07 BANCO MERCADO PAG AG:0001 CC:35980964608 (GM MATR);;;;;Analítica;;;Devedora;
1.1.1.03.100;;4287;Conta 302.21 BANCO MERCADO PAGO AG: 0001 CC: 7532677918 (YAMAHA MATRIZ);;;;;Analítica;;;Devedora;
1.1.1.03.101;;4288;Conta 302.17 BANCO BTG PACTUAL AG: 0001 CC: 454654 (YAMAHA MATRIZ);;;;;Analítica;;;Devedora;
1.1.1.03.102;;4289;Conta 302.23 BANCO SAFRA AG: 0044 CC: 00586789-2 (YAMAHA MATRIZ);;;;;Analítica;;;Devedora;
1.1.1.03.103;;4290;Banco - Mercado Pago 38291268447;;;;;Analítica;;;Devedora;
1.1.1.03.104;;4291;Conta 302.01 BANCO ITAU AG: 7250 CC: 98778-6 (GM MATRIZ);;;;;Analítica;;;Devedora;
1.1.1.03.105;;4292;Bco Santander c/c 13-007099-8;;;;;Analítica;;;Devedora;
1.1.1.03.106;;4293;Conta 302.20 BANCO PAGSEGURO AG: 0001 CC: 52439859-1 (YAMAHA MATRIZ);;;;;Analítica;;;Devedora;
1.1.1.03.107;;4294;Conta 302.14 BANCO MERCADO PAG AG:0001 CC:31676337059 (MOTOREY);;;;;Analítica;;;Devedora;
1.1.1.20;;4295;Aplic.Financ.de Liq.Imediata;;;;;Sintética;;;Devedora;
1.1.1.20.001;;4296;Conta 303.08 APLIC. SAFRA AG: 0044 CC: 16826-1 (GM MATRIZ);;;;;Analítica;;;Devedora;
1.1.1.20.002;;4297;Banco da Amazonia - Basa-C/C: 072961-8;;;;;Analítica;;;Devedora;
1.1.1.20.003;;4298;Conta 303.03 APLIC. BRASIL AG: 1856 CC: 402054-5 (GM MATRIZ);;;;;Analítica;;;Devedora;
1.1.1.20.004;;4299;Banco Itau S/A.-C/C:12660-9;;;;;Analítica;;;Devedora;
1.1.1.20.005;;4300;Banco HSBC S/A.-C/C:1203-90;;;;;Analítica;;;Devedora;
1.1.1.20.006;;4301;Banco Bradesco-C/C 1718-3;;;;;Analítica;;;Devedora;
1.1.1.20.012;;4302;Conta 303.24 APLIC. SAFRA AG: 0044 CC: 582780-7 (YAMAHA MATRIZ);;;;;Analítica;;;Devedora;
1.1.1.20.013;;4303;Banco Safra 584829-4 CDB FC;;;;;Analítica;;;Devedora;
1.1.1.20.014;;4304;Conta 303.12 APLIC. SAFRA AG: 0044 CC: 586396-0 (MOTOREY MATRIZ);;;;;Analítica;;;Devedora;
1.1.1.20.021;;4305;Conta 303.15 APLIC. BRASIL AG: 1856 CC: 5906-4 (YAMAHA MATRIZ);;;;;Analítica;;;Devedora;
1.1.1.20.022;;4306;Banco Bradesco-C/C 0029766-6;;;;;Analítica;;;Devedora;
1.1.1.20.023;;4307;Banco Basa S/A.-C/C: 072730-5;;;;;Analítica;;;Devedora;
1.1.1.20.029;;4308;Conta 303.22 APLIC. ITAU AG: 0686 CC: 65522-6 (YAMAHA MATRIZ);;;;;Analítica;;;Devedora;
1.1.1.20.041;;4309;Banco do Brasil S/A.-C/C: 6327;;;;;Analítica;;;Devedora;
1.1.1.20.042;;4310;Conta 303.25  APLIC. FUNDO BB AG: 1856 CC: 5906-4 (YAMAHA MATRIZ);;;;;Analítica;;;Devedora;
1.1.1.20.043;;4311;Banco do Brasil S/A 6483-1 Rende Facil ;;;;;Analítica;;;Devedora;
1.1.1.20.044;;4312;Banco do Brasil S/A 402054-5 Rende Facil;;;;;Analítica;;;Devedora;
1.1.1.20.045;;4313;Banco do Brasil S/A 6222-7 Rende Facil;;;;;Analítica;;;Devedora;
1.1.1.20.046;;4314;Banco do Brasil S/A 5906-4 Rende Facil;;;;;Analítica;;;Devedora;
1.1.1.20.047;;4315;Banco do Brasil S/A 6327 Rende Facil;;;;;Analítica;;;Devedora;
1.1.1.20.048;;4316;Banco do Brasil S/A 6659 Rende Facil;;;;;Analítica;;;Devedora;
1.1.1.20.051;;4317;Conta 303.05 APLIC. BRASIL AG: 1856 CC: 6222-7 (GM MATRIZ);;;;;Analítica;;;Devedora;
1.1.1.20.061;;4318;Banco do Brasil S/A.-C/C: 6483-1;;;;;Analítica;;;Devedora;
1.1.1.20.062;;4319;Banco Itau - c/c 10000-9;;;;;Analítica;;;Devedora;
1.1.1.20.063;;4320;Banco HSBC -C/01617-80;;;;;Analítica;;;Devedora;
1.1.1.20.064;;4321;Banco Safra S/A. C/022152-8;;;;;Analítica;;;Devedora;
1.1.1.20.065;;4322;Banco Caixa Economica: 3090-4;;;;;Analítica;;;Devedora;
1.1.1.20.066;;4323;Banco Caixa Economica 3087-4;;;;;Analítica;;;Devedora;
1.1.1.20.071;;4324;Conta 303.06 APLIC. BTG PACTUAL AG: 0001 CC: 48365-6 (GM MATRIZ);;;;;Analítica;;;Devedora;
1.1.1.20.072;;4325;Banco BTGPactual 48365-4;;;;;Analítica;;;Devedora;
1.1.1.20.073;;4326;Banco BTGPactual 220884-7;;;;;Analítica;;;Devedora;
1.1.1.20.081;;4327;Banco do Brasil C/C 6659-1;;;;;Analítica;;;Devedora;
1.1.1.20.082;;4328;Conta 303.02 APLIC.SANTANDER AG: 4584 CC: 130020418 (GM MATRIZ);;;;;Analítica;;;Devedora;
1.1.1.20.083;;4329;Banco Santander C/C 130020401;;;;;Analítica;;;Devedora;
1.1.1.20.084;;4330;Conta 303.16 APLIC. SANTANDER AG: 4584 CC: 130020470 (YAMAHA MATRIZ);;;;;Analítica;;;Devedora;
1.1.1.20.085;;4331;Conta 303.13 APLIC. SANTANDER AG:4584 CC:130031047(MOTOREY MATRIZ);;;;;Analítica;;;Devedora;
1.1.1.20.089;;4332;Banco Santander C/C 130020401 - FIC;;;;;Analítica;;;Devedora;
1.1.1.20.091;;4333;Banco Caixa Economica - 3450-1;;;;;Analítica;;;Devedora;
1.1.1.20.092;;4334;Banco Itau 390281;;;;;Analítica;;;Devedora;
1.1.1.20.093;;4335;Banco BTG Pactual - 105483-1;;;;;Analítica;;;Devedora;
1.1.1.20.094;;4336;Banc Pactual Investimento;;;;;Analítica;;;Devedora;
1.1.1.20.095;;4337;Banco Santander Invest Comprom 130020470;;;;;Analítica;;;Devedora;
1.1.1.20.096;;4338;CBD - Yamaha;;;;;Analítica;;;Devedora;
1.1.1.20.097;;4339;Conta 303.17 APLIC. BTG PACTUAL AG: 0001 CC: 454654 (YAMAHA MATRIZ);;;;;Analítica;;;Devedora;
1.1.1.20.098;;4340;Conta 303.23 APLIC. SAFRA AG: 0044 CC: 00586789-2 (YAMAHA MATRIZ);;;;;Analítica;;;Devedora;
1.1.1.20.099;;4341;Conta 303.01 APLIC. ITAU AG: 7250 CC: 98778-6 (GM MATRIZ);;;;;Analítica;;;Devedora;
1.1.1.20.100;;4342;Banco Santander Investimento 130070998;;;;;Analítica;;;Devedora;
1.1.1.20.101;;4343;Conta 303.11 APLIC. SAFRA AG:0044 CC:584829-4 (ACESSORIOS MATRIZ);;;;;Analítica;;;Devedora;
1.1.1.20.102;;4344;BB Facil 6768-7;;;;;Analítica;;;Devedora;
1.1.2;;4345;Contas a Receber;;;;;Sintética;;;Devedora;
1.1.2.01;;4346;Duplicatas a Receber;;;;;Sintética;;;Devedora;
1.1.2.01.001;;4347;Dupl.a Rec.Veic. Novos;;;;;Analítica;;;Devedora;
1.1.2.01.002;;4348;Dupl.a Rec.Veic.Usados;;;;;Analítica;;;Devedora;
1.1.2.01.003;;4349;Dupl.Rec.Pecas/Oficina;;;;;Analítica;;;Devedora;
1.1.2.01.006;;4350;Vendas a Vista;;;;;Analítica;;;Devedora;
1.1.2.01.020;;4351;(-)Duplicatas Descontadas;;;;;Analítica;;;Credora;
